# Data downloaded from: https://www.hockey-reference.com/teams/SEA/2022.html
Rk,Player,Age,Pos,GP,Scoring_G,Scoring_A,Scoring_PTS,+/-,PIM,Goals_EVG,Goals_PPG,Goals_SHG,Goals_GWG,Assists_EV,Assists_PP,Assists_SH,Shots_SOG,Shots_SPCT,Shots_TSA,Ice Time_TOI,Ice Time_ATOI,Faceoffs_FOW,Faceoffs_FOL,Faceoffs_FO%,BLK,HIT,TAKE,GIVE,Awards
1.0,Jared McCann,25.0,C,74,27,23,50,-26,33,18,8,1,1,14,9,0,199,13.6,353,1194:13,16:08,224,268,45.5,29,65,43,37,
2.0,Yanni Gourde,30.0,C,74,21,27,48,-13,45,17,3,1,3,20,4,3,127,16.5,245,1367:46,18:29,444,453,49.5,31,77,54,38,
3.0,Jordan Eberle,31.0,RW,79,21,23,44,-28,14,17,4,0,2,18,5,0,164,12.8,310,1418:14,17:57,6,14,30.0,40,48,50,34,ASG
4.0,Alexander Wennberg,27.0,C,80,11,26,37,-26,28,9,2,0,2,21,4,1,95,11.6,152,1428:09,17:51,555,635,46.6,44,47,45,37,
5.0,Vince Dunn,25.0,D,73,7,28,35,-21,63,5,2,0,0,19,9,0,121,5.8,282,1509:19,20:41,0,0,,82,76,25,48,
6.0,Ryan Donato,25.0,C,74,16,15,31,-13,40,15,1,0,2,15,0,0,159,10.1,268,1020:46,13:48,15,23,39.5,17,70,39,24,
7.0,Calle Järnkrok,30.0,C,49,12,14,26,-15,2,10,2,0,1,11,3,0,82,14.6,139,823:20,16:48,129,132,49.4,14,28,21,12,Byng-66
8.0,Adam Larsson,29.0,D,82,8,17,25,-23,55,8,0,0,3,16,1,0,119,6.7,260,1826:45,22:17,0,0,,140,183,23,35,
9.0,Jaden Schwartz,29.0,C,37,8,15,23,-13,14,7,1,0,0,12,3,0,101,7.9,168,682:52,18:27,17,18,48.6,13,42,28,16,
10.0,Marcus Johansson,31.0,C,51,6,17,23,-22,4,3,3,0,1,11,6,0,81,7.4,136,845:39,16:35,31,49,38.8,18,17,24,18,Byng-57
11.0,Mark Giordano,38.0,D,55,6,17,23,-21,47,4,0,2,0,9,8,0,123,4.9,286,1181:56,21:29,0,0,,98,46,15,32,
12.0,Joonas Donskoi,29.0,RW,75,2,20,22,-10,14,2,0,0,0,16,3,1,89,2.2,155,1112:47,14:50,5,9,35.7,31,36,24,21,
13.0,Morgan Geekie,23.0,C,73,7,15,22,-16,18,7,0,0,0,11,4,0,97,7.2,189,920:24,12:36,351,318,52.5,23,55,25,26,
14.0,Carson Soucy,27.0,D,64,10,11,21,7,47,9,0,1,1,8,2,1,97,10.3,169,1130:14,17:40,0,0,,73,118,23,29,
15.0,Colin Blackwell,28.0,C,39,8,9,17,1,4,6,0,2,1,9,0,0,61,13.1,97,487:04,12:29,39,45,46.4,16,57,12,12,
16.0,Jamie Oleksiak,29.0,D,72,1,16,17,-1,54,1,0,0,0,15,0,1,95,1.1,176,1391:58,19:20,0,0,,86,182,32,51,
17.0,Riley Sheahan,30.0,C,69,4,13,17,6,2,4,0,0,0,11,0,2,69,5.8,109,831:05,12:03,263,296,47.0,28,16,18,12,Byng-63
18.0,Mason Appleton,26.0,C,49,6,11,17,-4,14,6,0,0,2,11,0,0,68,8.8,119,700:54,14:18,7,13,35.0,12,39,8,7,
19.0,Brandon Tanev,30.0,LW,30,9,6,15,4,13,6,2,1,3,6,0,0,51,17.6,77,437:04,14:34,1,1,50.0,22,98,10,11,
20.0,Matty Beniers,19.0,C,10,3,6,9,-1,0,1,2,0,0,4,2,0,18,16.7,36,169:24,16:56,39,53,42.4,4,7,6,5,
21.0,William Borgen,25.0,D,36,2,6,8,1,28,2,0,0,0,6,0,0,49,4.1,97,550:12,15:17,0,0,,33,89,4,14,
22.0,Karson Kuhlman,26.0,C,25,2,6,8,-2,6,2,0,0,0,6,0,0,46,4.3,79,329:20,13:10,0,1,0.0,13,29,6,6,
23.0,Kole Lind,23.0,RW,23,2,6,8,-1,12,2,0,0,0,6,0,0,31,6.5,47,272:07,11:50,6,11,35.3,10,18,7,3,
24.0,Victor Rask,28.0,C,18,4,4,8,-3,0,4,0,0,1,3,1,0,28,14.3,47,261:57,14:33,6,4,60.0,3,6,7,9,
25.0,Daniel Sprong,24.0,RW,16,6,0,6,-6,0,4,2,0,0,0,0,0,51,11.8,90,219:05,13:42,0,2,0.0,0,8,5,7,
26.0,Jeremy Lauzon,24.0,D,53,1,5,6,-9,67,1,0,0,0,5,0,0,58,1.7,116,943:57,17:49,0,0,,49,176,7,16,
27.0,Haydn Fleury,25.0,D,36,2,2,4,0,13,2,0,0,1,2,0,0,52,3.8,105,586:10,16:17,0,0,,62,60,6,14,
