# Data downloaded from: https://www.hockey-reference.com/teams/SEA/2022.html
Rk,Player,Age,Pos,GP,Scoring_G,Scoring_A,Scoring_PTS,+/-,PIM,Goals_EVG,Goals_PPG,Goals_SHG,Goals_GWG,Assists_EV,Assists_PP,Assists_SH,Shots_SOG,Shots_SPCT,Shots_TSA,Ice Time_TOI,Ice Time_ATOI,Faceoffs_FOW,Faceoffs_FOL,Faceoffs_FO%,BLK,HIT,TAKE,GIVE,Awards
28.0,Derrick Pouliot,28.0,D,9,0,3,3,6,2,0,0,0,0,3,0,0,8,0.0,27,141:51,15:46,0,0,,9,6,2,9,
29.0,Dennis Cholowski,23.0,D,4,0,2,2,1,0,0,0,0,0,2,0,0,8,0.0,23,78:52,19:43,0,0,,4,2,0,1,
30.0,Austin Czarnik,29.0,C,6,0,2,2,0,0,0,0,0,0,2,0,0,5,0.0,14,64:46,10:48,0,1,0.0,2,1,2,0,
31.0,Nathan Bastian,24.0,RW,12,1,1,2,-1,31,1,0,0,0,1,0,0,10,10.0,16,110:50,9:14,2,2,50.0,6,16,3,1,
32.0,Philipp Grubauer,30.0,G,55,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,3111:25,56:34,0,0,,0,1,1,24,
33.0,Alex Barré-Boulet,24.0,F,2,0,1,1,0,0,0,0,0,0,1,0,0,0,,1,17:17,8:39,0,0,,0,0,0,1,
34.0,Max McCormick,29.0,LW,10,0,0,0,1,10,0,0,0,0,0,0,0,8,0.0,15,81:00,8:06,2,2,50.0,3,11,2,1,
35.0,Cale Fleury,23.0,D,9,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,17,131:07,14:34,0,0,,14,19,1,5,
36.0,Chris Driedger,27.0,G,27,0,0,0,0,4,0,0,0,0,0,0,0,0,,0,1478:24,54:45,0,0,,0,0,3,9,
37.0,Joey Daccord,25.0,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,293:13,58:39,0,0,,0,0,0,7,
38.0,Alexander True,24.0,F,8,0,0,0,-2,2,0,0,0,0,0,0,0,6,0.0,7,65:59,8:15,12,15,44.4,2,22,1,1,
