# Data downloaded from: https://www.hockey-reference.com/teams/SEA/2026.html
Rk,Player,Age,Goalie Stats_GP,Goalie Stats_GS,Goalie Stats_W,Goalie Stats_L,Goalie Stats_T/O,Goalie Stats_GA,Goalie Stats_Shots,Goalie Stats_SV,Goalie Stats_SV%,Goalie Stats_GAA,Goalie Stats_SO,Goalie Stats_MIN,Goalie Stats_QS,Goalie Stats_QS%,Goalie Stats_RBS,Goalie Stats_GA%-,Goalie Stats_GSAA,Goalie Stats_GAA/A,Goalie Stats_GPS,Scoring_G,Scoring_A,Scoring_PTS,PIM,Awards
1.0,Joey Daccord,29.0,13,13.0,7,3,3,35,349,314,0.9,2.78,1,755:15,7,0.538,4,97,1.1,2.94,2.4,0,1,1,2,
2.0,Philipp Grubauer,34.0,5,3.0,3,0,1,9,93,84,0.903,2.21,0,244:51,0,0.0,1,94,0.6,2.21,0.7,0,0,0,0,
3.0,Matt Murray,31.0,5,4.0,0,2,1,8,101,93,0.921,2.21,0,216:53,3,0.75,0,77,2.4,2.21,0.9,0,0,0,0,
