# Data downloaded from: https://www.hockey-reference.com/teams/SEA/2023.html
Rk,Player,Age,Pos,GP,Scoring_G,Scoring_A,Scoring_PTS,+/-,PIM,Goals_EVG,Goals_PPG,Goals_SHG,Goals_GWG,Assists_EV,Assists_PP,Assists_SH,Shots_SOG,Shots_SPCT,Shots_TSA,Ice Time_TOI,Ice Time_ATOI,Faceoffs_FOW,Faceoffs_FOL,Faceoffs_FO%,BLK,HIT,TAKE,GIVE,Awards
1.0,Jared McCann,26.0,C,79,40,30,70,18,14,30,7,3,3,21,9,0,210,19.0,396,1290:48,16:20,26,52,33.3,28,65,56,28,ASnhl-13
2.0,Vince Dunn,26.0,D,81,14,50,64,28,55,14,0,0,2,35,15,0,149,9.4,334,1917:13,23:40,0,0,,80,115,50,54,"ASnhl-11,Norris-11"
3.0,Jordan Eberle,32.0,RW,82,20,43,63,6,34,17,3,0,4,31,12,0,177,11.3,321,1368:07,16:41,34,43,44.2,25,44,55,33,
4.0,Matty Beniers,20.0,C,80,24,33,57,14,2,20,4,0,4,26,6,1,148,16.2,270,1367:22,17:06,409,560,42.2,48,79,55,48,"AR-1,Byng-6,Calder-1"
5.0,Yanni Gourde,31.0,C,81,14,34,48,23,76,10,3,1,2,33,1,0,141,9.9,244,1387:53,17:08,483,489,49.7,54,118,65,27,Selke-23
6.0,Daniel Sprong,25.0,RW,66,21,25,46,13,14,15,6,0,3,17,8,0,147,14.3,280,753:39,11:25,2,3,40.0,17,33,21,21,
7.0,Oliver Bjorkstrand,27.0,RW,81,20,25,45,-1,16,15,5,0,1,20,5,0,198,10.1,358,1265:30,15:37,18,41,30.5,38,63,56,20,
8.0,Jaden Schwartz,30.0,C,71,21,19,40,-17,22,15,6,0,2,17,2,0,167,12.6,291,1237:03,17:25,73,84,46.5,25,55,44,31,
9.0,André Burakovsky,27.0,LW,49,13,26,39,-9,14,9,4,0,3,16,10,0,105,12.4,206,811:08,16:33,0,6,0.0,15,17,31,17,
10.0,Alexander Wennberg,28.0,C,82,13,25,38,-7,20,9,4,0,3,20,5,0,101,12.9,165,1532:52,18:42,627,748,45.6,63,43,84,26,
11.0,Brandon Tanev,31.0,LW,82,16,19,35,21,44,15,0,1,3,19,0,0,115,13.9,192,1166:03,14:13,3,22,12.0,68,190,33,24,Selke-30
12.0,Justin Schultz,32.0,D,73,7,27,34,4,40,6,1,0,4,15,12,0,98,7.1,215,1298:38,17:47,0,0,,72,30,14,24,
13.0,Adam Larsson,30.0,D,82,8,25,33,27,47,7,0,1,2,25,0,0,143,5.6,299,1938:28,23:38,0,0,,173,222,32,30,
14.0,Morgan Geekie,24.0,C,69,9,19,28,14,24,8,1,0,3,19,0,0,81,11.1,131,721:24,10:27,297,307,49.2,33,53,29,14,
15.0,Ryan Donato,26.0,C,71,14,13,27,16,46,14,0,0,0,11,2,0,122,11.5,203,799:03,11:15,62,85,42.2,12,69,36,15,
16.0,Eeli Tolvanen,23.0,RW,48,16,11,27,10,10,12,4,0,3,8,3,0,97,16.5,184,718:53,14:59,2,7,22.2,35,69,20,10,
17.0,Jamie Oleksiak,30.0,D,75,9,16,25,13,72,9,0,0,2,16,0,0,76,11.8,161,1443:51,19:15,0,0,,115,126,42,38,
18.0,William Borgen,26.0,D,82,3,17,20,11,47,3,0,0,1,17,0,0,76,3.9,167,1341:30,16:22,0,0,,89,203,14,23,
19.0,Carson Soucy,28.0,D,78,3,13,16,18,68,3,0,0,0,11,0,2,87,3.4,196,1270:46,16:18,0,0,,96,143,29,32,
20.0,Jesper Frödén,28.0,F,14,0,4,4,4,6,0,0,0,0,4,0,0,10,0.0,20,139:57,9:60,0,0,,6,11,7,5,
21.0,Karson Kuhlman,27.0,C,14,1,2,3,3,0,1,0,0,1,2,0,0,13,7.7,25,135:51,9:42,0,0,,6,8,7,4,
22.0,Shane Wright,19.0,C,8,1,1,2,4,2,1,0,0,0,1,0,0,4,25.0,10,67:52,8:29,10,21,32.3,6,1,1,2,
23.0,John Hayden,27.0,C,7,2,0,2,2,7,2,0,0,0,0,0,0,9,22.2,19,55:23,7:55,0,1,0.0,3,4,0,1,
24.0,Philipp Grubauer,31.0,G,39,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,2065:37,52:58,0,0,,0,0,1,6,
25.0,Cale Fleury,24.0,D,12,0,1,1,0,2,0,0,0,0,1,0,0,10,0.0,29,159:42,13:19,0,0,,13,28,3,9,
26.0,Gustav Olofsson,28.0,D,3,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,8,38:48,12:56,0,0,,4,2,1,1,
27.0,Jaycob Megna,30.0,D,6,0,0,0,-3,0,0,0,0,0,0,0,0,7,0.0,22,104:10,17:22,0,0,,3,11,1,3,
28.0,Martin Jones,33.0,G,48,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2625:39,54:42,0,0,,0,0,0,8,
29.0,Joey Daccord,26.0,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,248:08,49:38,0,0,,0,0,0,3,
