# Data downloaded from: https://www.hockey-reference.com/teams/SEA/2024.html
Rk,Player,Age,Pos,GP,Scoring_G,Scoring_A,Scoring_PTS,+/-,PIM,Goals_EVG,Goals_PPG,Goals_SHG,Goals_GWG,Assists_EV,Assists_PP,Assists_SH,Shots_SOG,Shots_SPCT,Shots_TSA,Ice Time_TOI,Ice Time_ATOI,Faceoffs_FOW,Faceoffs_FOL,Faceoffs_FO%,BLK,HIT,TAKE,GIVE,Awards
1.0,Jared McCann,27.0,C,80,29,33,62,-10,31,18,9,2,3,19,14,0,216,13.4,440,1340:53,16:46,147,160,47.9,27,45,42,29,
2.0,Oliver Bjorkstrand,28.0,RW,82,20,39,59,-20,12,12,8,0,3,22,17,0,186,10.8,428,1327:00,16:11,9,19,32.1,29,67,63,24,"ASG,Byng-21"
3.0,Vince Dunn,27.0,D,59,11,35,46,8,78,7,4,0,0,22,12,1,120,9.2,328,1362:08,23:05,0,0,,64,39,30,34,
4.0,Jordan Eberle,33.0,RW,78,17,27,44,1,17,11,6,0,3,21,6,0,168,10.1,313,1360:42,17:27,31,42,42.5,23,30,59,20,
5.0,Eeli Tolvanen,24.0,RW,81,16,25,41,-15,24,15,1,0,3,16,9,0,153,10.5,330,1267:01,15:39,12,23,34.3,75,210,33,24,
6.0,Matty Beniers,21.0,C,77,15,22,37,-11,20,9,6,0,1,15,7,0,133,11.3,273,1383:10,17:58,527,584,47.4,44,52,45,31,
7.0,Yanni Gourde,32.0,C,80,11,22,33,-11,62,9,0,2,1,19,2,1,156,7.1,293,1395:49,17:27,519,566,47.8,52,156,62,25,
8.0,Jaden Schwartz,31.0,C,62,13,17,30,-15,24,6,7,0,0,14,3,0,117,11.1,209,1014:28,16:22,92,69,57.1,27,46,40,21,
9.0,Justin Schultz,33.0,D,70,7,19,26,-23,22,7,0,0,2,9,10,0,100,7.0,267,1153:07,16:28,0,0,,68,26,17,12,
10.0,William Borgen,27.0,D,82,3,22,25,-5,65,3,0,0,0,22,0,0,97,3.1,258,1442:12,17:35,0,0,,111,195,16,19,
11.0,Alexander Wennberg,29.0,C,60,9,16,25,1,14,6,2,1,4,14,2,0,80,11.3,127,1129:07,18:49,470,536,46.7,65,37,40,18,
12.0,Tye Kartye,22.0,F,77,11,9,20,-1,37,11,0,0,1,9,0,0,109,10.1,224,911:22,11:50,41,46,47.1,27,229,24,9,
13.0,Adam Larsson,31.0,D,81,4,14,18,6,55,4,0,0,1,13,0,1,130,3.1,304,1858:33,22:57,0,0,,151,162,22,18,
14.0,Kailer Yamamoto,25.0,RW,59,8,8,16,-9,18,6,2,0,2,4,4,0,61,13.1,108,707:30,11:59,38,69,35.5,18,31,25,6,
15.0,Brandon Tanev,32.0,LW,66,7,9,16,2,51,7,0,0,0,7,0,2,73,9.6,136,962:45,14:35,9,21,30.0,62,148,31,13,
16.0,André Burakovsky,28.0,LW,49,7,9,16,-15,14,2,5,0,1,5,4,0,92,7.6,207,713:41,14:34,3,3,50.0,14,13,24,11,
17.0,Brian Dumoulin,32.0,D,80,6,10,16,3,20,6,0,0,1,10,0,0,69,8.7,186,1361:15,17:01,0,0,,79,72,18,25,
18.0,Tomáš Tatar,33.0,LW,43,8,7,15,8,10,8,0,0,2,7,0,0,53,15.1,116,567:04,13:11,2,9,18.2,14,27,16,13,
19.0,Jamie Oleksiak,31.0,D,82,2,13,15,-2,37,2,0,0,0,11,0,2,108,1.9,213,1611:11,19:39,0,0,,177,110,33,29,
20.0,Ryker Evans,22.0,D,36,1,8,9,-5,20,1,0,0,0,3,5,0,44,2.3,102,690:26,19:11,0,0,,38,62,7,7,
21.0,Pierre-Édouard Bellemare,38.0,LW,40,4,3,7,4,6,3,0,1,0,3,0,0,36,11.1,69,393:32,9:50,174,151,53.5,22,20,18,7,
22.0,Shane Wright,20.0,C,8,4,1,5,1,0,4,0,0,3,0,1,0,12,33.3,28,108:17,13:32,41,40,50.6,6,1,4,5,
23.0,Devin Shore,29.0,C,21,1,3,4,3,4,1,0,0,0,3,0,0,15,6.7,38,168:09,8:00,20,20,50.0,9,27,5,1,
24.0,Philipp Grubauer,32.0,G,36,0,1,1,0,4,0,0,0,0,0,0,1,0,,0,1996:36,55:28,0,0,,0,0,0,5,
25.0,Logan Morrison,21.0,F,4,0,0,0,-1,0,0,0,0,0,0,0,0,6,0.0,16,52:32,13:08,14,17,45.2,8,2,3,0,
26.0,Gustav Olofsson,29.0,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,14:57,14:57,0,0,,3,0,0,1,
27.0,Andrew Poturalski,30.0,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,0,13:45,6:53,3,0,100.0,0,0,0,0,
28.0,Max McCormick,31.0,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5:38,5:38,0,0,,0,0,0,0,
29.0,Cale Fleury,25.0,D,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,13:30,13:30,0,0,,0,3,0,0,
