# Data downloaded from: https://www.hockey-reference.com/teams/SEA/2023.html
Rk,Player,Age,Goalie Stats_GP,Goalie Stats_GS,Goalie Stats_W,Goalie Stats_L,Goalie Stats_T/O,Goalie Stats_GA,Goalie Stats_Shots,Goalie Stats_SV,Goalie Stats_SV%,Goalie Stats_GAA,Goalie Stats_SO,Goalie Stats_MIN,Goalie Stats_QS,Goalie Stats_QS%,Goalie Stats_RBS,Goalie Stats_GA%-,Goalie Stats_GSAA,Goalie Stats_GAA/A,Goalie Stats_GPS,Scoring_G,Scoring_A,Scoring_PTS,PIM,Awards
1.0,Philipp Grubauer,31.0,39,36.0,17,14,4,98,930,832,0.895,2.85,0,2065:37,22,0.611,11,110,-9.0,2.88,4.4,0,1,1,0,
2.0,Martin Jones,33.0,48,42.0,27,13,3,131,1145,1014,0.886,2.99,3,2625:39,20,0.476,14,119,-21.4,3.02,4.3,0,0,0,0,
3.0,Joey Daccord,26.0,5,4.0,2,1,1,13,130,117,0.9,3.14,0,248:08,1,0.25,0,104,-0.6,3.14,0.7,0,0,0,0,
