# Data downloaded from: https://www.hockey-reference.com/teams/SEA/2025.html
Rk,Player,Age,Goalie Stats_GP,Goalie Stats_GS,Goalie Stats_W,Goalie Stats_L,Goalie Stats_T/O,Goalie Stats_GA,Goalie Stats_Shots,Goalie Stats_SV,Goalie Stats_SV%,Goalie Stats_GAA,Goalie Stats_SO,Goalie Stats_MIN,Goalie Stats_QS,Goalie Stats_QS%,Goalie Stats_RBS,Goalie Stats_GA%-,Goalie Stats_GSAA,Goalie Stats_GAA/A,Goalie Stats_GPS,Scoring_G,Scoring_A,Scoring_PTS,PIM,Awards
1.0,Joey Daccord,28.0,57,55.0,27,23,5,151,1599,1448,0.906,2.75,2,3295:15,34,0.618,8,94,9.1,2.93,10.7,0,2,2,0,
2.0,Philipp Grubauer,33.0,26,26.0,8,17,1,85,681,596,0.875,3.49,0,1460:29,10,0.385,8,125,-16.8,3.74,2.4,0,0,0,0,
3.0,Niklas Kokko,20.0,1,0.0,0,0,0,2,6,4,0.667,4.01,0,29:57,0,,0,333,-1.4,4.01,-0.1,0,0,0,0,
4.0,Victor Ostman,24.0,1,0.0,0,0,0,0,12,12,1.0,0.0,0,20:00,0,,0,0,1.2,0.0,0.2,0,0,0,0,
5.0,Ales Stezka,28.0,1,1.0,0,1,0,3,23,20,0.87,3.09,0,58:20,0,0.0,0,130,-0.7,3.09,0.1,0,0,0,0,
