# Data downloaded from: https://www.hockey-reference.com/teams/SEA/2026.html
Rk,Player,Age,Pos,GP,Scoring_G,Scoring_A,Scoring_PTS,+/-,PIM,Goals_EVG,Goals_PPG,Goals_SHG,Goals_GWG,Assists_EV,Assists_PP,Assists_SH,Shots_SOG,Shots_SPCT,Shots_TSA,Ice Time_TOI,Ice Time_ATOI,Faceoffs_FOW,Faceoffs_FOL,Faceoffs_FO%,BLK,HIT,TAKE,GIVE,Awards
1.0,Jaden Schwartz,33.0,C,20,8,7,15,7,8,5,2,1,2,6,1,0,40,20.0,73,347:25,17:22,10,5,66.7,18,23,13,26,
2.0,Jordan Eberle,35.0,RW,20,8,6,14,4,10,7,1,0,2,2,4,0,53,15.1,96,394:52,19:45,7,8,46.7,9,19,5,17,
3.0,Matty Beniers,23.0,C,20,2,11,13,3,6,0,2,0,1,9,2,0,29,6.9,86,411:47,20:35,129,148,46.6,17,7,2,23,
4.0,Vince Dunn,29.0,D,20,3,9,12,-5,12,3,0,0,0,4,5,0,48,6.3,102,452:32,22:38,0,0,,19,6,7,23,
5.0,Chandler Stephenson,31.0,C,20,4,8,12,-1,2,2,2,0,0,5,2,1,30,13.3,49,408:04,20:24,217,216,50.1,15,4,8,22,
6.0,Eeli Tolvanen,26.0,RW,20,3,8,11,-3,6,1,2,0,0,5,3,0,27,11.1,67,301:00,15:03,0,0,,15,52,5,15,
7.0,Brandon Montour,31.0,D,16,3,8,11,5,7,2,1,0,0,6,2,0,40,7.5,91,355:51,22:14,0,0,,25,16,7,22,
8.0,Shane Wright,22.0,C,20,5,5,10,2,2,4,1,0,1,4,1,0,30,16.7,51,282:32,14:08,58,99,36.9,11,17,2,19,
9.0,Mason Marchment,30.0,F,19,1,8,9,-1,4,1,0,0,1,5,3,0,28,3.6,58,316:01,16:38,6,18,25.0,7,25,7,30,
10.0,Jamie Oleksiak,33.0,D,20,2,3,5,4,6,2,0,0,0,3,0,0,22,9.1,43,333:21,16:40,0,0,,27,27,8,17,
11.0,Adam Larsson,33.0,D,20,1,4,5,-3,8,1,0,0,1,4,0,0,16,6.3,36,438:15,21:55,0,0,,45,28,3,8,
12.0,Berkly Catton,20.0,F,15,0,4,4,1,0,0,0,0,0,3,1,0,11,0.0,22,179:09,11:57,10,12,45.5,8,1,2,7,
13.0,Ryan Winterton,22.0,C,20,2,2,4,0,4,2,0,0,0,2,0,0,16,12.5,36,242:53,12:09,0,0,,10,21,3,8,
14.0,Jared McCann,29.0,C,5,3,1,4,0,0,3,0,0,1,1,0,0,14,21.4,29,86:27,17:17,2,1,66.7,4,7,0,1,
15.0,Tye Kartye,24.0,F,20,2,2,4,-2,4,2,0,0,0,2,0,0,13,15.4,36,230:01,11:30,1,4,20.0,17,48,5,12,
16.0,Ryker Evans,24.0,D,7,2,2,4,3,0,2,0,0,0,2,0,0,8,25.0,17,123:19,17:37,0,0,,4,4,1,9,
17.0,Ryan Lindgren,27.0,D,20,0,3,3,1,31,0,0,0,0,2,0,1,14,0.0,48,379:37,18:59,0,0,,34,8,2,22,
18.0,Ben Meyers,27.0,F,9,0,3,3,-1,2,0,0,0,0,3,0,0,8,0.0,14,86:54,9:39,21,30,41.2,1,14,1,1,
19.0,Jani Nyman,21.0,RW,14,3,0,3,2,6,2,1,0,0,0,0,0,16,18.8,37,143:05,10:13,2,3,40.0,2,14,1,6,
20.0,Josh Mahura,27.0,D,13,1,1,2,6,16,1,0,0,1,1,0,0,9,11.1,24,197:15,15:10,0,0,,21,13,2,7,
21.0,Kaapo Kakko,24.0,RW,7,1,0,1,0,4,1,0,0,0,0,0,0,8,12.5,18,88:07,12:35,0,1,0.0,2,3,1,7,
22.0,Frédérick Gaudreau,32.0,C,7,0,1,1,1,2,0,0,0,0,1,0,0,6,0.0,11,96:12,13:45,36,60,37.5,6,3,2,6,
23.0,Cale Fleury,27.0,D,4,0,1,1,0,5,0,0,0,0,1,0,0,3,0.0,9,58:54,14:44,0,0,,2,6,1,3,
24.0,Joey Daccord,29.0,G,13,0,1,1,0,2,0,0,0,0,1,0,0,0,,2,755:15,58:06,0,0,,0,0,0,7,
25.0,Matt Murray,31.0,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,216:53,43:23,0,0,,0,0,0,2,
26.0,John Hayden,30.0,C,3,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,5,30:14,10:05,6,9,40.0,2,7,1,2,
27.0,Philipp Grubauer,34.0,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,244:51,48:58,0,0,,0,0,0,1,
