# Source: https://www.hockey-reference.com/teams/SEA/2022.html
Rk,Player,Age,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,url
1,Philipp Grubauer,30,55,54,18,31,5,164,1479,1315,.889,3.16,2,3111:25,18,.333,10,119,-26.4,3.26,5.5,0,1,1,0,,grubaph01
2,Chris Driedger,27,27,24,9,14,1,73,722,649,.899,2.96,1,1478:24,9,.375,3,109,-5.8,3.04,3.4,0,0,0,4,,driedch01
3,Joey Daccord,25,5,4,0,4,0,21,140,119,.850,4.30,0,293:13,0,.000,3,161,-8.0,4.50,0.0,0,0,0,0,,daccojo01
